APN:unknown
init:1591238320.311469
OBS,1591238320.311479,-1
CPU,1591253241.669256,Google Chrome,-1
CPU,1591253376.972877,Postman,0.0
CPU,1591253378.11201,Postman,0.4
CPU,1591253379.252946,Postman,0.0
CPU,1591253380.3937228,Postman,0.9
CPU,1591253381.540443,Postman,38.8
CPU,1591253382.6995468,Postman,28.8
CPU,1591253383.85859,Postman,36.1
CPU,1591253385.015899,Postman,36.2
CPU,1591253386.1713521,Postman,39.5
CPU,1591253387.328783,Postman,44.8
CPU,1591253388.481659,Postman,28.3
CPU,1591253389.629861,Postman,25.3
CPU,1591253390.782976,Postman,62.6
CPU,1591253391.9288268,Postman,19.8
CPU,1591253393.077434,Postman,18.6
CPU,1591253394.2178261,Postman,20.9
CPU,1591253395.375673,Postman,19.6
CPU,1591253396.523984,Postman,19.2
CPU,1591253397.6767008,Postman,32.1
CPU,1591253398.82635,Postman,49.7
CPU,1591253399.981046,Postman,36.6
OBS,1591253401.048341,0.2999
CPU,1591253401.129549,Postman,36.1
CPU,1591253402.289425,Postman,43.3
CPU,1591253403.4314198,Postman,25.4
CPU,1591253404.574612,Postman,38.7
CPU,1591253405.73026,Postman,23.1
CPU,1591253406.873396,Postman,21.1
CPU,1591253408.018166,Postman,9.6
CPU,1591253409.15971,Postman,6.8
CPU,1591253410.305145,Postman,8.5
CPU,1591253411.48904,Postman,25.4
CPU,1591253412.649577,Postman,18.2
CPU,1591253413.8031518,Postman,50.7
CPU,1591253414.951376,Postman,8.2
CPU,1591253416.100518,Postman,9.8
CPU,1591253417.242923,Postman,20.9
CPU,1591253417.371704,AAR,90.7
CPU,1591253418.400579,Postman,32.4
CPU,1591253419.56319,Postman,42.6
CPU,1591253420.7041678,Postman,41.4
CPU,1591253421.847229,Postman,23.6
CPU,1591253423.00141,Postman,28.3
CPU,1591253424.160922,Postman,39.5
CPU,1591253424.656767,Google Chrome,-1
CPU,1591253425.3062022,Postman,34.0
CPU,1591253426.452802,Postman,5.3
CPU,1591253427.601758,Postman,37.5
CPU,1591253428.756397,Postman,40.4
CPU,1591253429.901184,Postman,30.8
CPU,1591253431.048596,Postman,17.4
CPU,1591253432.1996958,Postman,17.6
CPU,1591253433.365088,Postman,42.4
CPU,1591253434.566943,Postman,41.3
CPU,1591253435.732394,Postman,31.5
CPU,1591253436.8782852,Postman,7.1
CPU,1591253438.021596,Postman,12.3
CPU,1591253439.16533,Postman,31.6
CPU,1591253440.330965,Postman,26.6
CPU,1591253441.493449,Postman,27.8
CPU,1591253442.643111,Postman,9.5
CPU,1591253443.803802,Postman,39.2
CPU,1591253444.9534981,Postman,30.1
CPU,1591253446.11742,Postman,31.0
CPU,1591253447.2682571,Postman,32.3
CPU,1591253448.4190578,Postman,31.0
CPU,1591253449.594589,Postman,40.8
CPU,1591253450.7509701,Postman,39.0
CPU,1591253451.9031732,Postman,38.7
CPU,1591253453.0482519,Postman,19.0
CPU,1591253454.193606,Postman,36.5
CPU,1591253455.3380082,Postman,19.4
CPU,1591253456.489683,Postman,24.2
CPU,1591253457.638853,Postman,30.0
CPU,1591253458.7812428,Postman,32.7
CPU,1591253459.945181,Postman,29.4
CPU,1591253461.102931,Postman,14.6
CPU,1591253462.2654378,Postman,22.2
CPU,1591253463.432666,Postman,13.3
CPU,1591253464.588543,Postman,22.5
CPU,1591253465.765003,Postman,31.3
CPU,1591253466.93591,Postman,9.8
CPU,1591253470.355218,Postman,-1
CPU,1591296071.114131,python3,-1
CPU,1591296071.828335,python3,-1
